id,title,abstract
11,Object Tracking based on Quantum Particle Swarm Optimization,"In Computer Vision domain, moving Object Tracking considered as one of the
toughest problem.As there so many factors associated like illumination of
light, noise, occlusion, sudden start and stop of moving object, shading which
makes tracking even harder problem not only for dynamic background but also for
static background.In this paper we present a new object tracking algorithm
based on Dominant points on tracked object using Quantum particle swarm
optimization (QPSO) which is a new different version of PSO based on Quantum
theory. The novelty in our approach is that it can be successfully applicable
in variable background as well as static background and application of quantum
PSO makes the algorithm runs lot faster where other basic PSO algorithm failed
to do so due to heavy computation.In our approach firstly dominants points of
tracked objects detected, then a group of particles form a swarm are
initialized randomly over the image search space and then start searching the
curvature connected between two consecutive dominant points until they satisfy
fitness criteria. Obviously it is a Multi-Swarm approach as there are multiple
dominant points, as they moves, the curvature moves and the curvature movement
is tracked by the swarm throughout the video and eventually when the swarm
reaches optimal solution , a bounding box drawn based on particles final
position.Experimental results demonstrate this proposed QPSO based method work
efficiently and effectively in visual object tracking in both dynamic and
static environments and run time shows that it runs closely 90% faster than
basic PSO.in our approach we also apply parallelism using MatLab Parfor command
to show how very less number of iteration and swarm size will enable us to
successfully track object."
12,Simultaneously Evolving Deep Reinforcement Learning Models using Multifactorial Optimization,"In recent years, Multifactorial Optimization (MFO) has gained a notable
momentum in the research community. MFO is known for its inherent capability to
efficiently address multiple optimization tasks at the same time, while
transferring information among such tasks to improve their convergence speed.
On the other hand, the quantum leap made by Deep Q Learning (DQL) in the
Machine Learning field has allowed facing Reinforcement Learning (RL) problems
of unprecedented complexity. Unfortunately, complex DQL models usually find it
difficult to converge to optimal policies due to the lack of exploration or
sparse rewards. In order to overcome these drawbacks, pre-trained models are
widely harnessed via Transfer Learning, extrapolating knowledge acquired in a
source task to the target task. Besides, meta-heuristic optimization has been
shown to reduce the lack of exploration of DQL models. This work proposes a MFO
framework capable of simultaneously evolving several DQL models towards solving
interrelated RL tasks. Specifically, our proposed framework blends together the
benefits of meta-heuristic optimization, Transfer Learning and DQL to automate
the process of knowledge transfer and policy learning of distributed RL agents.
A thorough experimentation is presented and discussed so as to assess the
performance of the framework, its comparison to the traditional methodology for
Transfer Learning in terms of convergence, speed and policy quality , and the
intertask relationships found and exploited over the search process."
13,Reinforcement Learning Enhanced Quantum-inspired Algorithm for Combinatorial Optimization,"Quantum hardware and quantum-inspired algorithms are becoming increasingly
popular for combinatorial optimization. However, these algorithms may require
careful hyperparameter tuning for each problem instance. We use a reinforcement
learning agent in conjunction with a quantum-inspired algorithm to solve the
Ising energy minimization problem, which is equivalent to the Maximum Cut
problem. The agent controls the algorithm by tuning one of its parameters with
the goal of improving recently seen solutions. We propose a new Rescaled Ranked
Reward (R3) method that enables stable single-player version of self-play
training that helps the agent to escape local optima. The training on any
problem instance can be accelerated by applying transfer learning from an agent
trained on randomly generated problems. Our approach allows sampling
high-quality solutions to the Ising problem with high probability and
outperforms both baseline heuristics and a black-box hyperparameter
optimization approach."
14,Quantum-Classical Hybrid Machine Learning for Image Classification (ICCAD Special Session Paper),"Image classification is a major application domain for conventional deep
learning (DL). Quantum machine learning (QML) has the potential to
revolutionize image classification. In any typical DL-based image
classification, we use convolutional neural network (CNN) to extract features
from the image and multi-layer perceptron network (MLP) to create the actual
decision boundaries. On one hand, QML models can be useful in both of these
tasks. Convolution with parameterized quantum circuits (Quanvolution) can
extract rich features from the images. On the other hand, quantum neural
network (QNN) models can create complex decision boundaries. Therefore,
Quanvolution and QNN can be used to create an end-to-end QML model for image
classification. Alternatively, we can extract image features separately using
classical dimension reduction techniques such as, Principal Components Analysis
(PCA) or Convolutional Autoencoder (CAE) and use the extracted features to
train a QNN. We review two proposals on quantum-classical hybrid ML models for
image classification namely, Quanvolutional Neural Network and dimension
reduction using a classical algorithm followed by QNN. Particularly, we make a
case for trainable filters in Quanvolution and CAE-based feature extraction for
image datasets (instead of dimension reduction using linear transformations
such as, PCA). We discuss various design choices, potential opportunities, and
drawbacks of these models. We also release a Python-based framework to create
and explore these hybrid models with a variety of design choices."
15,Rotationally Equivariant Neural Operators for Learning Transformations on Tensor Fields (eg 3D Images and Vector Fields),"We introduce equivariant neural operators for learning resolution invariant
as well as translation and rotation equivariant transformations between sets of
tensor fields. Input and output may contain arbitrary mixes of scalar fields,
vector fields, second order tensor fields and higher order fields. Our tensor
field convolution layers emulate any linear operator by learning its impulse
response or Green's function as the convolution kernel. Our tensor field
attention layers emulate pairwise field coupling via local tensor products.
Convolutions and associated adjoints can be in real or Fourier space allowing
for linear scaling. By unifying concepts from E3NN, TBNN and FNO, we achieve
good predictive performance on a wide range of PDEs and dynamical systems in
engineering and quantum chemistry. Code is in Julia and available upon request
from authors."
16,Geometry-aware Transformer for molecular property prediction,"Recently, graph neural networks (GNNs) have achieved remarkable performances
for quantum mechanical problems. However, a graph convolution can only cover a
localized region, and cannot capture long-range interactions of atoms. This
behavior is contrary to theoretical interatomic potentials, which is a
fundamental limitation of the spatial based GNNs. In this work, we propose a
novel attention-based framework for molecular property prediction tasks. We
represent a molecular conformation as a discrete atomic sequence combined by
atom-atom distance attributes, named Geometry-aware Transformer (GeoT). In
particular, we adopt a Transformer architecture, which has been widely used for
sequential data. Our proposed model trains sequential representations of
molecular graphs based on globally constructed attentions, maintaining all
spatial arrangements of atom pairs. Our method does not suffer from cost
intensive computations, such as angle calculations. The experimental results on
several public benchmarks and visualization maps verified that keeping the
long-range interatomic attributes can significantly improve the model
predictability."
17,Matching Point Sets with Quantum Circuit Learning,"In this work, we propose a parameterised quantum circuit learning approach to
point set matching problem. In contrast to previous annealing-based methods, we
propose a quantum circuit-based framework whose parameters are optimised via
descending the gradients w.r.t a kernel-based loss function. We formulate the
shape matching problem into a distribution learning task; that is, to learn the
distribution of the optimal transformation parameters. We show that this
framework is able to find multiple optimal solutions for symmetric shapes and
is more accurate, scalable and robust than the previous annealing-based method.
Code, data and pre-trained weights are available at the project page:
\href{https://hansen7.github.io/qKC}{https://hansen7.github.io/qKC}"
18,Do Large Scale Molecular Language Representations Capture Important Structural Information?,"Predicting chemical properties from the structure of a molecule is of great
importance in many applications including drug discovery and material design.
Machine learning based molecular property prediction holds the promise of
enabling accurate predictions at much less complexity, when compared to, for
example Density Functional Theory (DFT) calculations. Features extracted from
molecular graphs, using graph neural nets in a supervised manner, have emerged
as strong baselines for such tasks. However, the vast chemical space together
with the limited availability of labels makes supervised learning challenging,
calling for learning a general-purpose molecular representation. Recently,
pre-trained transformer-based language models (PTLMs) on large unlabeled corpus
have produced state-of-the-art results in many downstream natural language
processing tasks. Inspired by this development, here we present molecular
embeddings obtained by training an efficient transformer encoder model,
referred to as MoLFormer. This model was employed with a linear attention
mechanism and highly paralleized training on 1D SMILES sequences of 1.1 billion
unlabeled molecules from the PubChem and ZINC datasets. Experiments show that
the learned molecular representation performs competitively, when compared to
existing graph-based and fingerprint-based supervised learning baselines, on
the challenging tasks of predicting properties of QM8 and QM9 molecules.
Further task-specific fine-tuning of the MoLFormerr representation improves
performance on several of those property prediction benchmarks. These results
provide encouraging evidence that large-scale molecular language models can
capture sufficient structural information to be able to accurately predict
quantum chemical properties and beyond."
19,A hybrid quantum-classical neural network with deep residual learning,"Inspired by the success of classical neural networks, there has been
tremendous effort to develop classical effective neural networks into quantum
concept. In this paper, a novel hybrid quantum-classical neural network with
deep residual learning (Res-HQCNN) is proposed. We firstly analysis how to
connect residual block structure with a quantum neural network, and give the
corresponding training algorithm. At the same time, the advantages and
disadvantages of transforming deep residual learning into quantum concept are
provided. As a result, the model can be trained in an end-to-end fashion,
analogue to the backpropagation in classical neural networks.
  To explore the effectiveness of Res-HQCNN , we perform extensive experiments
for quantum data with or without noisy on classical computer. The experimental
results show the Res-HQCNN performs better to learn an unknown unitary
transformation and has stronger robustness for noisy data, when compared to
state of the arts. Moreover, the possible methods of combining residual
learning with quantum neural networks are also discussed."
20,BoXHED 2.0: Scalable boosting of functional data in survival analysis,"Modern applications of survival analysis increasingly involve time-dependent
covariates, which constitute a form of functional data. Learning from
functional data generally involves repeated evaluations of time integrals which
is numerically expensive. In this work we propose a lightweight data
preprocessing step that transforms functional data into nonfunctional data.
Boosting implementations for nonfunctional data can then be used, whereby the
required numerical integration comes for free as part of the training phase. We
use this to develop BoXHED 2.0, a quantum leap over the tree-boosted hazard
package BoXHED 1.0. BoXHED 2.0 extends BoXHED 1.0 to Aalen's multiplicative
intensity model, which covers censoring schemes far beyond right-censoring and
also supports recurrent events data. It is also massively scalable because of
preprocessing and also because it borrows from the core components of XGBoost.
BoXHED 2.0 supports the use of GPUs and multicore CPUs, and is available from
GitHub: www.github.com/BoXHED."
21,Single-Photon Image Classification,"Quantum computing-based machine learning mainly focuses on quantum computing
hardware that is experimentally challenging to realize due to requiring quantum
gates that operate at very low temperature. Instead, we demonstrate the
existence of a lower performance and much lower effort island on the
accuracy-vs-qubits graph that may well be experimentally accessible with room
temperature optics. This high temperature ""quantum computing toy model"" is
nevertheless interesting to study as it allows rather accessible explanations
of key concepts in quantum computing, in particular interference, entanglement,
and the measurement process.
  We specifically study the problem of classifying an example from the MNIST
and Fashion-MNIST datasets, subject to the constraint that we have to make a
prediction after the detection of the very first photon that passed a
coherently illuminated filter showing the example. Whereas a classical set-up
in which a photon is detected after falling on one of the $28\times 28$ image
pixels is limited to a (maximum likelihood estimation) accuracy of $21.27\%$
for MNIST, respectively $18.27\%$ for Fashion-MNIST, we show that the
theoretically achievable accuracy when exploiting inference by optically
transforming the quantum state of the photon is at least $41.27\%$ for MNIST,
respectively $36.14\%$ for Fashion-MNIST.
  We show in detail how to train the corresponding transformation with
TensorFlow and also explain how this example can serve as a teaching tool for
the measurement process in quantum mechanics."
22,"Quantum spectral analysis: frequency in time, with applications to signal and image processing","A quantum time-dependent spectrum analysis, or simply, quantum spectral
analysis (QSA) is presented in this work, and it is based on Schrodinger
equation, which is a partial differential equation that describes how the
quantum state of a non-relativistic physical system changes with time. In
classic world is named frequency in time (FIT), which is presented here in
opposition and as a complement of traditional spectral analysis
frequency-dependent based on Fourier theory. Besides, FIT is a metric, which
assesses the impact of the flanks of a signal on its frequency spectrum, which
is not taken into account by Fourier theory and even less in real time. Even
more, and unlike all derived tools from Fourier Theory (i.e., continuous,
discrete, fast, short-time, fractional and quantum Fourier Transform, as well
as, Gabor) FIT has the following advantages: a) compact support with excellent
energy output treatment, b) low computational cost, O(N) for signals and O(N2)
for images, c) it does not have phase uncertainties (indeterminate phase for
magnitude = 0) as Discrete and Fast Fourier Transform (DFT, FFT, respectively),
d) among others. In fact, FIT constitutes one side of a triangle (which from
now on is closed) and it consists of the original signal in time, spectral
analysis based on Fourier Theory and FIT. Thus a toolbox is completed, which it
is essential for all applications of Digital Signal Processing (DSP) and
Digital Image Processing (DIP); and, even, in the latter, FIT allows edge
detection (which is called flank detection in case of signals), denoising,
despeckling, compression, and superresolution of still images. Such
applications include signals intelligence and imagery intelligence. On the
other hand, we will present other DIP tools, which are also derived from the
Schrodinger equation."
23,Entangled Kernels -- Beyond Separability,"We consider the problem of operator-valued kernel learning and investigate
the possibility of going beyond the well-known separable kernels. Borrowing
tools and concepts from the field of quantum computing, such as partial trace
and entanglement, we propose a new view on operator-valued kernels and define a
general family of kernels that encompasses previously known operator-valued
kernels, including separable and transformable kernels. Within this framework,
we introduce another novel class of operator-valued kernels called entangled
kernels that are not separable. We propose an efficient two-step algorithm for
this framework, where the entangled kernel is learned based on a novel
extension of kernel alignment to operator-valued kernels. We illustrate our
algorithm with an application to supervised dimensionality reduction, and
demonstrate its effectiveness with both artificial and real data for
multi-output regression."
24,Towards a Kernel based Uncertainty Decomposition Framework for Data and Models,"This paper introduces a new framework for quantifying predictive uncertainty
for both data and models that relies on projecting the data into a Gaussian
reproducing kernel Hilbert space (RKHS) and transforming the data probability
density function (PDF) in a way that quantifies the flow of its gradient as a
topological potential field quantified at all points in the sample space. This
enables the decomposition of the PDF gradient flow by formulating it as a
moment decomposition problem using operators from quantum physics, specifically
the Schrodinger's formulation. We experimentally show that the higher order
modes systematically cluster the different tail regions of the PDF, thereby
providing unprecedented discriminative resolution of data regions having high
epistemic uncertainty. In essence, this approach decomposes local realizations
of the data PDF in terms of uncertainty moments. We apply this framework as a
surrogate tool for predictive uncertainty quantification of point-prediction
neural network models, overcoming various limitations of conventional Bayesian
based uncertainty quantification methods. Experimental comparisons with some
established methods illustrate performance advantages exhibited by our
framework."
25,Co-embedding of Nodes and Edges with Graph Neural Networks,"Graph, as an important data representation, is ubiquitous in many real world
applications ranging from social network analysis to biology. How to correctly
and effectively learn and extract information from graph is essential for a
large number of machine learning tasks. Graph embedding is a way to transform
and encode the data structure in high dimensional and non-Euclidean feature
space to a low dimensional and structural space, which is easily exploited by
other machine learning algorithms. We have witnessed a huge surge of such
embedding methods, from statistical approaches to recent deep learning methods
such as the graph convolutional networks (GCN). Deep learning approaches
usually outperform the traditional methods in most graph learning benchmarks by
building an end-to-end learning framework to optimize the loss function
directly. However, most of the existing GCN methods can only perform
convolution operations with node features, while ignoring the handy information
in edge features, such as relations in knowledge graphs. To address this
problem, we present CensNet, Convolution with Edge-Node Switching graph neural
network, for learning tasks in graph-structured data with both node and edge
features. CensNet is a general graph embedding framework, which embeds both
nodes and edges to a latent feature space. By using line graph of the original
undirected graph, the role of nodes and edges are switched, and two novel graph
convolution operations are proposed for feature propagation. Experimental
results on real-world academic citation networks and quantum chemistry graphs
show that our approach achieves or matches the state-of-the-art performance in
four graph learning tasks, including semi-supervised node classification,
multi-task graph classification, graph regression, and link prediction."
26,Neural Group Actions,"We introduce an algorithm for designing Neural Group Actions, collections of
deep neural network architectures which model symmetric transformations
satisfying the laws of a given finite group. This generalizes involutive neural
networks $\mathcal{N}$, which satisfy $\mathcal{N}(\mathcal{N}(x))=x$ for any
data $x$, the group law of $\mathbb{Z}_2$. We show how to optionally enforce an
additional constraint that the group action be volume-preserving. We
conjecture, by analogy to a universality result for involutive neural networks,
that generative models built from Neural Group Actions are universal
approximators for collections of probabilistic transitions adhering to the
group laws. We demonstrate experimentally that a Neural Group Action for the
quaternion group $Q_8$ can learn how a set of nonuniversal quantum gates
satisfying the $Q_8$ group laws act on single qubit quantum states."
27,Supervised Learning with Projected Entangled Pair States,"Tensor networks, a model that originated from quantum physics, has been
gradually generalized as efficient models in machine learning in recent years.
However, in order to achieve exact contraction, only tree-like tensor networks
such as the matrix product states and tree tensor networks have been
considered, even for modeling two-dimensional data such as images. In this
work, we construct supervised learning models for images using the projected
entangled pair states (PEPS), a two-dimensional tensor network having a similar
structure prior to natural images. Our approach first performs a feature map,
which transforms the image data to a product state on a grid, then contracts
the product state to a PEPS with trainable parameters to predict image labels.
The tensor elements of PEPS are trained by minimizing differences between
training labels and predicted labels. The proposed model is evaluated on image
classifications using the MNIST and the Fashion-MNIST datasets. We show that
our model is significantly superior to existing models using tree-like tensor
networks. Moreover, using the same input features, our method performs as well
as the multilayer perceptron classifier, but with much fewer parameters and is
more stable. Our results shed light on potential applications of
two-dimensional tensor network models in machine learning."
28,Quantum Ensemble for Classification,"A powerful way to improve performance in machine learning is to construct an
ensemble that combines the predictions of multiple models. Ensemble methods are
often much more accurate and lower variance than the individual classifiers
that make them up but have high requirements in terms of memory and
computational time. In fact, a large number of alternative algorithms is
usually adopted, each requiring to query all available data. We propose a new
quantum algorithm that exploits quantum superposition, entanglement and
interference to build an ensemble of classification models. Thanks to the
generation of the several quantum trajectories in superposition, we obtain $B$
transformations of the quantum state which encodes the training set in only
$log\left(B\right)$ operations. This implies an exponential speed-up in the
size of the ensemble with respect to classical methods. Furthermore, when
considering the overall cost of the algorithm, we show that the training of a
single weak classifier impacts additively rather than multiplicatively, as it
usually happens. We also present small-scale experiments, defining a quantum
version of the cosine classifier and using the IBM qiskit environment to show
how the algorithm works."
29,Compressing deep neural networks by matrix product operators,"A deep neural network is a parametrization of a multilayer mapping of signals
in terms of many alternatively arranged linear and nonlinear transformations.
The linear transformations, which are generally used in the fully connected as
well as convolutional layers, contain most of the variational parameters that
are trained and stored. Compressing a deep neural network to reduce its number
of variational parameters but not its prediction power is an important but
challenging problem toward the establishment of an optimized scheme in training
efficiently these parameters and in lowering the risk of overfitting. Here we
show that this problem can be effectively solved by representing linear
transformations with matrix product operators (MPOs), which is a tensor network
originally proposed in physics to characterize the short-range entanglement in
one-dimensional quantum states. We have tested this approach in five typical
neural networks, including FC2, LeNet-5, VGG, ResNet, and DenseNet on two
widely used data sets, namely, MNIST and CIFAR-10, and found that this MPO
representation indeed sets up a faithful and efficient mapping between input
and output signals, which can keep or even improve the prediction accuracy with
a dramatically reduced number of parameters. Our method greatly simplifies the
representations in deep learning, and opens a possible route toward
establishing a framework of modern neural networks which might be simpler and
cheaper, but more efficient."
30,A Quantum Computational Approach to Correspondence Problems on Point Sets,"Modern adiabatic quantum computers (AQC) are already used to solve difficult
combinatorial optimisation problems in various domains of science. Currently,
only a few applications of AQC in computer vision have been demonstrated. We
review AQC and derive a new algorithm for correspondence problems on point sets
suitable for execution on AQC. Our algorithm has a subquadratic computational
complexity of the state preparation. Examples of successful transformation
estimation and point set alignment by simulated sampling are shown in the
systematic experimental evaluation. Finally, we analyse the differences in the
solutions and the corresponding energy values."
31,Directional Message Passing for Molecular Graphs,"Graph neural networks have recently achieved great successes in predicting
quantum mechanical properties of molecules. These models represent a molecule
as a graph using only the distance between atoms (nodes). They do not, however,
consider the spatial direction from one atom to another, despite directional
information playing a central role in empirical potentials for molecules, e.g.
in angular potentials. To alleviate this limitation we propose directional
message passing, in which we embed the messages passed between atoms instead of
the atoms themselves. Each message is associated with a direction in coordinate
space. These directional message embeddings are rotationally equivariant since
the associated directions rotate with the molecule. We propose a message
passing scheme analogous to belief propagation, which uses the directional
information by transforming messages based on the angle between them.
Additionally, we use spherical Bessel functions and spherical harmonics to
construct theoretically well-founded, orthogonal representations that achieve
better performance than the currently prevalent Gaussian radial basis
representations while using fewer than 1/4 of the parameters. We leverage these
innovations to construct the directional message passing neural network
(DimeNet). DimeNet outperforms previous GNNs on average by 76% on MD17 and by
31% on QM9. Our implementation is available online."
32,Differentially Private M-band Wavelet-Based Mechanisms in Machine Learning Environments,"In the post-industrial world, data science and analytics have gained
paramount importance regarding digital data privacy. Improper methods of
establishing privacy for accessible datasets can compromise large amounts of
user data even if the adversary has a small amount of preliminary knowledge of
a user. Many researchers have been developing high-level privacy-preserving
mechanisms that also retain the statistical integrity of the data to apply to
machine learning. Recent developments of differential privacy, such as the
Laplace and Privelet mechanisms, drastically decrease the probability that an
adversary can distinguish the elements in a data set and thus extract user
information. In this paper, we develop three privacy-preserving mechanisms with
the discrete M-band wavelet transform that embed noise into data. The first two
methods (LS and LS+) add noise through a Laplace-Sigmoid distribution that
multiplies Laplace-distributed values with the sigmoid function, and the third
method utilizes pseudo-quantum steganography to embed noise into the data. We
then show that our mechanisms successfully retain both differential privacy and
learnability through statistical analysis in various machine learning
environments."
33,Near-Term Quantum-Classical Associative Adversarial Networks,"We introduce a new hybrid quantum-classical adversarial machine learning
architecture called a quantum-classical associative adversarial network (QAAN).
This architecture consists of a classical generative adversarial network with a
small auxiliary quantum Boltzmann machine that is simultaneously trained on an
intermediate layer of the discriminator of the generative network. We
numerically study the performance of QAANs compared to their classical
counterparts on the MNIST and CIFAR-10 data sets, and show that QAANs attain a
higher quality of learning when evaluated using the Inception score and the
Fr\'{e}chet Inception distance. As the QAAN architecture only relies on
sampling simple local observables of a small quantum Boltzmann machine, this
model is particularly amenable for implementation on the current and next
generations of quantum devices."
